FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AS,,$0,1,Transient non-community system,,,,TSM POWERPLANT B (R ) - TAFUNA,,09,,N,0,0,,,,,AS9900029,_____________,,,-14.263817,State Centroid,0,,,,110063336689,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,TUTUILA STORE - LELOALOA,,09,,N,0,0,,,,,AS9900063,_____________,,,-14.263817,State Centroid,0,,,,110063332460,,100000,,-170.66209
,,,Y,AS,,$0,1,Non-Transient non-community system,,,,Tutuila Print Shop - Pago,,09,,N,0,0,,,,,AS9900151,_____________,,,-14.263817,State Centroid,0,,,,AS9900151,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,Tutuila Store ( R ) - Leloaloa,,09,,N,0,1,,,,,AS9900152,____SSSSSS___,,,-14.263817,State Centroid,0,,,,AS9900152,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,US MART - FUTIGA,,09,,N,0,0,,,,,AS9900046,_____________,,,-14.263817,State Centroid,0,,,,110063353197,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,VATIA VILLAGE WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000027 AS9710621 AS9710657,SSSSSSSSSSSSV,0,220300000001,-14.25219,INTERPOLATION-PHOTO,1,,,96799,110013023593,VATIA VILLAGE PO BOX PPB,26,AMERICAN SAMOA,-170.675483
60050,,,Y,AS,,$0,1,Community water system,,60050,,VILLAGE OF AOA,96799,09,,Y,0,1,FACILITY CENTROID,PAGO PAGO,,,AS0000009 AS9710609 AS9710652,VVVSSSSSSSSVV,0,220300000001,-14.263455,INTERPOLATION-PHOTO,1,,,96799,110048473594,AOA,52,AMERICAN SAMOA,-170.585746
60050,,,Y,AS,,$0,1,Community water system,,60050,,VILLAGE OF AUA,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000011 AS9710814 AS9710914,SSSSSSSSSSSSV,0,220300000001,-14.269111,INTERPOLATION-PHOTO,1,,,96799,110048428126,AUA VILLAGE,52,AMERICAN SAMOA,-170.662994
60050,,,Y,AS,,$0,1,Community water system,,60050,,VILLAGE OF AUNU'U WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000042 AS9310707 AS9310751 AS9310754 AS9311706 AS9311707,SSSSSSSSSSSSV,0,220300000001,-14.284333,INTERPOLATION-PHOTO,1,,3,96799,110048334664,AUNU'U VILLAGE,52,AMERICAN SAMOA,-170.559225
,,,Y,AS,,$0,1,Community water system,,,,VILLAGE OF FAGASA (UPPER),96799,09,,Y,0,1,,PAGO PAGO,,,AS9711110,SSSSSSSSSSSSV,,,-14.2812,Zip Code Centroid,1,,,,110048428643,PAGO PAGO,10000,AMERICAN SAMOA,170.701
,,,Y,AS,,$0,1,Community water system,,,,VILLAGE OF PAGO (UPPER),96799,09,,Y,0,1,,PAGO PAGO,,,AS9711100,SSSSSSSSSSSSV,,,-14.2812,Zip Code Centroid,1,,,,110048428607,PAGO PAGO,10000,AMERICAN SAMOA,170.701
,,,Y,AS,,$0,1,Transient non-community system,,,,YOUNG MART - UTULEI,,09,,N,0,1,,,,,AS9900013,_______SSS___,,,-14.263817,State Centroid,0,,,,110063351322,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,ZL MART - ILIILI,,09,,N,0,0,,,,,AS9900120,_____________,,,-14.263817,State Centroid,0,,,,110063353151,,100000,,-170.66209
